Supplementary Table 2: qGI Genetic Interaction Scores,,,,,,,,,
gene,FASN_merge,ACACA,LDLR,SREBF1,SREBF2,C12orf49,qGI_FASN_a,qGI_FASN_b,qGI_FASN_c
TXNDC17,-0.276897466,-0.437091101,-0.251057047,0.336165095,-0.135217083,-0.198549056,-0.60,-0.35,-0.37
CCL13,0.030954758,-0.436308482,0.160846318,0.061200656,0.002348221,0.024966711,-0.59,-0.53,-0.37
HGSNAT,-0.037935935,-0.435513386,0.072083081,-0.007421856,-0.107187401,0.037149582,-0.59,-0.44,-0.05
KIF5B,0.149296249,-0.435452159,0.001740016,-0.301958025,-0.097256201,-0.082142169,-0.59,-1.09,-1.05
MEAF6,1.147879984,-0.435419552,0.269406042,-0.182364912,-0.969995462,-0.92266537,-0.59,-0.37,-0.36
HTATSF1,-0.280189929,-0.435361303,-0.232183515,0.080852995,-0.426216559,-0.363850863,-0.59,-0.73,-0.28
FCHO2,-0.665619215,-0.434093536,-0.50270416,-0.13302711,-0.393852681,-0.313818109,-0.59,-0.33,-1.27
DONSON,-0.010747614,-0.43372752,-0.331584596,-0.249278206,-0.228252024,-0.030990722,-0.59,-0.40,0.24
TUBB,-0.175549861,-0.433101402,0.210963815,-0.01874517,-0.051259704,0.363329283,-0.59,-0.10,-0.23
DOC2A,0.195258329,-0.432876592,-0.216481701,-0.029685448,0.105456993,-0.064142738,-0.59,-0.69,-1.03
KCTD11,0.152240689,-0.432857949,0.145205442,0.049364231,0.120224093,-0.075834396,-0.59,-1.22,-1.49
CCL7,-0.042240112,-0.432390759,0.216854334,-0.097859575,0.365191454,0.532850968,-0.59,-0.39,-0.16
PPCDC,0.002814428,-0.431789643,-0.063575318,0.073233898,-0.017279973,0.096076189,-0.59,-0.23,-0.18
RDH10,0.038217646,-0.431676504,-0.041990116,0.336190437,0.058092939,0.174433845,-0.59,-0.95,-0.52
FBF1,-0.209573598,-0.431582782,-0.250087646,-0.181932963,0.387562779,-0.194804692,-0.59,-0.30,-0.25
MALSU1,-0.076784115,-0.430693263,0.037015283,-0.002347549,-0.359783059,0.070051994,-0.58,-0.39,-0.24
ASPM,-0.881237979,-0.430526671,-0.233820725,0.066489056,0.097143923,0.176269757,-0.58,-0.05,-0.04
NR2F6,-0.258909259,-0.429963914,0.480921736,0.098958682,0.093538029,-0.141749869,-0.58,-0.30,-0.26
SLC25A32,0.159224281,-0.429329631,0.07885153,0.142984575,0.46908224,0.225784311,-0.58,-0.41,-0.33
ALDH18A1,-0.852457025,-0.429234155,0.05710021,0.371246925,-0.485935912,-0.006815714,-0.58,-0.27,-0.36
XYLT1,0.002504119,-0.428896072,-0.227118616,0.248036621,0.2318273,0.16092982,-0.58,-0.30,-0.14
IKBKAP,-0.105075466,-0.427279891,0.034402484,-0.130354483,-0.039400702,-0.219862819,-0.58,-1.12,-0.85
FZR1,-0.26359455,-0.426787971,-0.206217365,-0.05900752,-0.08651136,-0.058790443,-0.58,-0.55,-0.06
THRA,1.080325991,-0.425720926,0.572253729,0.12898314,0.385921436,0.010040747,-0.58,-1.03,-0.05
TLDC2,-0.022918779,-0.425660169,0.190380963,-0.018594144,-0.188081732,-0.234070731,-0.58,-0.17,-0.15
ANAPC13,-0.182838373,-0.422805282,-0.136446422,0.031090998,0.306311379,0.197707576,-0.58,-0.74,-0.60
PELP1,0.089179142,-0.422438611,0.514669636,0.012572531,-0.064806074,-0.248176139,-0.57,0.28,0.11
IZUMO1,0.029240274,-0.421182381,0.206809588,-0.064747855,0.025954886,-0.074532375,-0.57,-0.11,-0.09
ATP1B3,0.420614134,-0.420707625,-0.219494152,-0.257550843,-0.269102006,0.054200927,-0.57,-0.50,-0.90
CNRIP1,-0.025120457,-0.420364985,0.331723584,0.035087844,0.018737659,-0.02974894,-0.57,0.00,-0.31
ORC2,-0.114974624,-0.418826038,0.017861253,-0.227391623,-0.174571758,-0.002306476,-0.57,-0.68,-0.39
TMC7,-0.015905903,-0.418245001,0.235415377,0.045510581,-0.16607897,-0.240867737,-0.57,-0.35,-0.19
MED16,0.029228182,-0.417567751,0.031295799,-0.137360983,0.446638983,0.332914764,-0.57,0.50,0.41
MMP9,-0.174234833,-0.417445651,0.034995595,-0.148299428,0.011458228,-0.292701239,-0.57,-0.23,-0.18
EXOSC3,0.075940848,-0.417017453,-0.040764404,-0.098701932,-0.026078314,0.07621328,-0.57,-0.06,-0.60
KANSL2,0.35649449,-0.416827023,0.058487135,0.313542579,-0.235855072,-0.106778932,-0.57,-0.42,-0.13
NPL,-0.045501333,-0.416741677,0.046649161,0.102721986,-0.042985952,-0.020045767,-0.57,-0.67,0.16
