gene_a,gene_b,r_all,p_all,r_blood,p_blood,fdr_bh_all,fdr_bh_blood
G6PD,RAX,0.026225724430937413,0.48199490492257435,0.16701728954255865,0.30951133444489365,0.7510084945841694,0.7450258603877534
G6PD,OPN5,0.04469934728244739,0.2306217990525696,0.11342582511055127,0.4917540974131666,0.5497130405722329,0.8713646559250667
G6PD,RNF17,0.005389762703904802,0.8860037647511347,-0.19710020676424164,0.22909863598479072,0.9561808730649498,0.7030796820126916
G6PD,RXFP3,-0.09960516281326716,0.007438212358932595,-0.10599228140532307,0.5207442555605787,0.06924299505042707,0.8827207198899752
G6PD,SLC36A3,0.05586128750456104,0.13399719772617258,-0.08426604833755363,0.6100315014647731,0.4193555332261636,0.9063729795413924
G6PD,TSSK1B,0.06599657946598592,0.0765674031594615,0.06015966440157793,0.7160048933451267,0.3126197003001937,0.9371025188975074
BMP15,GPAM,-0.019120487522766492,0.608253034178783,0.05842414535560388,0.7238711644191164,0.8279723216714808,0.9430586162406809
C3orf30,GPAM,0.03717537326525509,0.3032055172369935,-0.06432899755014068,0.6894640170478045,0.6249646732099061,0.9274975741683549
CXorf66,GPAM,0.0007213467927815783,0.9845733864081483,0.17830413164063325,0.2774736678911542,0.994675560065059,0.7226170801641452
GLRA2,GPAM,0.07712517770130395,0.03841362311847903,0.15264745500706248,0.3535527213071375,0.20702921091222384,0.7809274948630474
GPAM,GPX6,0.016921740024474594,0.6394096047955667,-0.041134927987293804,0.7984492471254633,0.8509305774608168,0.9659955669161395
GPAM,GSX2,-0.03480006870148556,0.3351674915157124,-0.1686150276357014,0.291954945916143,0.6529899378083894,0.7324003060911347
GPAM,NDST4,0.0558929898453873,0.12146600235374665,-0.19657460824849737,0.2180134597154304,0.4016977696349975,0.6907357139498785
GPAM,PPP3R2,0.01897511793598628,0.5993138611663922,0.06341472045670243,0.6936608491682873,0.8267158039985448,0.9289319596530292
GPAM,PRSS37,0.014521018293444257,0.6876499337369566,0.17202888751214118,0.28215076397070865,0.8740267756092033,0.7255585395295889
GPAM,RAX,-0.047766108650605946,0.18577041546293843,-0.26193426923059837,0.09805515172839151,0.49435786235459706,0.5368548596774878
GPAM,OPN5,0.05142002659276864,0.1542890826243848,-0.08691068407889987,0.5889804207695164,0.45415508470715804,0.9023278738300192
GPAM,RNF17,0.013532273868127725,0.7100985245676837,-0.01626171268081617,0.9196201481474512,0.8845996218458737,0.9895870446647645
GPAM,RXFP3,-0.09144033813660378,0.01118357252545387,0.04256807167401936,0.791580269332931,0.09265354584194793,0.9635520478572084
GPAM,SLC36A3,-0.08158786438132787,0.02366076679501921,-0.0768942214899412,0.6327603156769183,0.14845971322364995,0.915250017808791
GPAM,TSSK1B,0.039193036687575164,0.2776979221442164,0.09057024348661125,0.5733276820736138,0.5992086498674036,0.8992373894490464
BMP15,GPAT2,0.045900222634284484,0.21832376353422137,0.09020826100625734,0.5849717132218442,0.535624739700222,0.9004976463306801
C3orf30,GPAT2,-0.11806488450496891,0.0010373624256564988,-0.216051990791568,0.1748727601077738,0.01659779881050398,0.6430226848911974
CXorf66,GPAT2,-0.054512656236904725,0.14366143354391955,0.21550559894602983,0.18764125822039157,0.43420693019177575,0.6596353540609596
GLRA2,GPAT2,-0.03482342690847271,0.3504483118228052,-0.11078229779343635,0.5019674716442125,0.6698898614064349,0.8721044588406943
